sentiment_score,satisfaction,start_location_encoded,end_location_encoded,verified_encoded,traveller_type_Business,traveller_type_Couple Leisure,traveller_type_Family Leisure,traveller_type_Solo Leisure,class_Business Class,class_Economy Class,class_First Class,class_Premium Economy
-0.1289,0,0.5223367697594502,0.0,1,1,0,0,0,1,0,0,0
0.9738,0,0.39558232931726905,0.1111111111111111,0,0,1,0,0,1,0,0,0
-0.9746,0,0.39558232931726905,0.45454545454545453,1,0,0,0,1,1,0,0,0
-0.9649,0,0.39558232931726905,0.16666666666666666,1,0,0,0,1,0,1,0,0
-0.789,0,0.39558232931726905,0.29411764705882354,1,1,0,0,0,0,1,0,0
-0.6334,0,0.39558232931726905,0.5,1,0,0,0,1,0,1,0,0
0.8898,0,0.2962962962962963,0.3553299492385787,0,0,1,0,0,1,0,0,0
0.8782,0,0.5,0.3553299492385787,1,0,1,0,0,1,0,0,0
-0.7894,0,0.6512968299711815,0.6512968299711815,1,0,1,0,0,1,0,0,0
-0.981,0,0.125,0.3553299492385787,1,0,0,0,1,1,0,0,0
-0.5719,0,0.5223367697594502,0.3333333333333333,1,0,0,0,1,1,0,0,0
-0.8519,0,0.39558232931726905,0.38095238095238093,1,1,0,0,0,0,1,0,0
-0.2382,0,0.23809523809523808,0.3553299492385787,1,1,0,0,0,0,1,0,0
-0.7786,1,0.24,0.3553299492385787,0,0,1,0,0,1,0,0,0
-0.9455,0,0.0,0.25,0,0,1,0,0,0,1,0,0
-0.7881,0,0.2222222222222222,0.0,0,0,1,0,0,0,0,0,1
-0.789,0,0.16666666666666666,0.6,1,0,0,1,0,0,0,0,1
-0.8537,0,0.39558232931726905,0.2,1,0,0,1,0,0,1,0,0
0.9601,1,0.39558232931726905,0.5,1,0,0,0,1,0,0,0,1
-0.8055,0,0.75,0.25,0,0,1,0,0,0,1,0,0
0.1015,1,0.7142857142857143,0.3553299492385787,0,0,1,0,0,0,1,0,0
-0.96,0,0.39558232931726905,0.2,1,0,0,1,0,0,1,0,0
-0.851,0,0.5384615384615384,0.3553299492385787,1,0,0,0,1,0,1,0,0
0.9251,0,0.5223367697594502,0.4444444444444444,1,1,0,0,0,1,0,0,0
-0.9372,0,0.3333333333333333,0.4513888888888889,1,0,0,1,0,0,1,0,0
-0.7428,0,0.5,0.5,1,0,0,0,1,0,1,0,0
-0.9392,0,0.2222222222222222,0.3553299492385787,0,1,0,0,0,0,1,0,0
-0.5681,0,0.39558232931726905,0.6363636363636364,1,0,1,0,0,1,0,0,0
-0.8984,0,0.09090909090909091,0.3553299492385787,1,0,1,0,0,0,1,0,0
0.8802,1,0.5,0.4668192219679634,1,0,0,0,1,1,0,0,0
-0.3372,1,0.39558232931726905,1.0,1,0,1,0,0,1,0,0,0
0.1655,0,0.39558232931726905,0.14285714285714285,1,0,1,0,0,0,1,0,0
-0.8983,0,0.39558232931726905,0.0,0,0,1,0,0,0,1,0,0
0.9615,1,0.5,0.3553299492385787,1,0,1,0,0,0,1,0,0
-0.9601,0,0.39558232931726905,0.5,1,1,0,0,0,0,0,0,1
-0.9747,0,0.7272727272727273,0.38461538461538464,1,0,0,1,0,0,1,0,0
-0.502,0,0.39558232931726905,0.4,1,1,0,0,0,1,0,0,0
0.9875,1,0.7272727272727273,0.3553299492385787,1,0,0,0,1,0,1,0,0
0.9978,1,0.8333333333333334,0.23529411764705882,0,0,1,0,0,1,0,0,0
-0.9669,0,0.5,0.3553299492385787,1,1,0,0,0,0,1,0,0
-0.1935,0,0.39558232931726905,0.0,0,0,1,0,0,0,1,0,0
